21
(1.00,   0.00,   0.00)  (0.00,   0.00,   1.00)
(0.54,   0.84,   0.10)  (0.00,   0.00,   1.00)
(-0.42,   0.91,   0.20)  (0.00,   0.00,   1.00)
(-0.99,   0.14,   0.30)  (0.00,   0.00,   1.00)
(-0.65,   -0.76,   0.40)  (0.00,   0.00,   1.00)
(0.28,   -0.96,   0.50)  (0.00,   0.00,   1.00)
(0.96,   -0.28,   0.60)  (0.00,   0.00,   1.00)
(0.75,   0.66,   0.70)  (0.00,   0.00,   1.00)
(-0.15,   0.99,   0.80)  (0.00,   0.00,   1.00)
(-0.91,   0.41,   0.90)  (0.00,   0.00,   1.00)
(-0.84,   -0.54,   1.00)  (0.00,   0.00,   1.00)
(0.00,   -1.00,   1.10)  (0.00,   0.00,   1.00)
(0.84,   -0.54,   1.20)  (0.00,   0.00,   1.00)
(0.91,   0.42,   1.30)  (0.00,   0.00,   1.00)
(0.14,   0.99,   1.40)  (0.00,   0.00,   1.00)
(-0.76,   0.65,   1.50)  (0.00,   0.00,   1.00)
(-0.96,   -0.29,   1.60)  (0.00,   0.00,   1.00)
(-0.28,   -0.96,   1.70)  (0.00,   0.00,   1.00)
(0.66,   -0.75,   1.80)  (0.00,   0.00,   1.00)
(0.99,   0.15,   1.90)  (0.00,   0.00,   1.00)
(0.41,   0.91,   2.00)  (0.00,   0.00,   1.00)
